first_name,last_name,phone1,email,Apt_Number
James,Butt,504-621-8927,jbutt@gmail.com,100
Josephine,Darakjy,810-292-9388,josephine_darakjy@darakjy.org,101
Art,Venere,856-636-8749,art@venere.org,102
Lenna,Paprocki,907-385-4412,lpaprocki@hotmail.com,103
Donette,Foller,513-570-1893,donette.foller@cox.net,104
Simona,Morasca,419-503-2484,simona@morasca.com,105
Mitsue,Tollner,773-573-6914,mitsue_tollner@yahoo.com,106
Leota,Dilliard,408-752-3500,leota@hotmail.com,107
Sage,Wieser,605-414-2147,sage_wieser@cox.net,108
Kris,Marrier,410-655-8723,kris@gmail.com,109
Minna,Amigon,215-874-1229,minna_amigon@yahoo.com,110
Abel,Maclead,631-335-3414,amaclead@gmail.com,111
Kiley,Caldarera,310-498-5651,kiley.caldarera@aol.com,112
Graciela,Ruta,440-780-8425,gruta@cox.net,113
Cammy,Albares,956-537-6195,calbares@gmail.com,114
Mattie,Poquette,602-277-4385,mattie@aol.com,115
Meaghan,Garufi,931-313-9635,meaghan@hotmail.com,116
Gladys,Rim,414-661-9598,gladys.rim@rim.org,117
Yuki,Whobrey,313-288-7937,yuki_whobrey@aol.com,118
Fletcher,Flosi,815-828-2147,fletcher.flosi@yahoo.com,119
Bette,Nicka,610-545-3615,bette_nicka@cox.net,120
Veronika,Inouye,408-540-1785,vinouye@aol.com,121
Willard,Kolmetz,972-303-9197,willard@hotmail.com,122
Maryann,Royster,518-966-7987,mroyster@royster.com,123
Alisha,Slusarski,732-658-3154,alisha@slusarski.com,124
Allene,Iturbide,715-662-6764,allene_iturbide@cox.net,125
Chanel,Caudy,913-388-2079,chanel.caudy@caudy.org,126
Ezekiel,Chui,410-669-1642,ezekiel@chui.com,127
Willow,Kusko,212-582-4976,wkusko@yahoo.com,128
Bernardo,Figeroa,936-336-3951,bfigeroa@aol.com,129
Ammie,Corrio,614-801-9788,ammie@corrio.com,130
Francine,Vocelka,505-977-3911,francine_vocelka@vocelka.com,131
Ernie,Stenseth,201-709-6245,ernie_stenseth@aol.com,132
Albina,Glick,732-924-7882,albina@glick.com,133
Alishia,Sergi,212-860-1579,asergi@gmail.com,134
